	Ensembl ID	HGNC symbol	DBD
78	ENSG00000188290	HES4	bHLH
79	ENSG00000197921	HES5	bHLH
80	ENSG00000144485	HES6	bHLH
81	ENSG00000179111	HES7	bHLH
82	ENSG00000164683	HEY1	bHLH
83	ENSG00000135547	HEY2	bHLH
84	ENSG00000163909	HEYL	bHLH
85	ENSG00000100644	HIF1A	bHLH
86	ENSG00000124440	HIF3A	bHLH
87	ENSG00000125968	ID1	bHLH
88	ENSG00000115738	ID2	bHLH
89	ENSG00000117318	ID3	bHLH
90	ENSG00000172201	ID4	bHLH
91	ENSG00000104903	LYL1	bHLH
92	ENSG00000125952	MAX	bHLH
93	ENSG00000166823	MESP1	bHLH
94	ENSG00000188095	MESP2	bHLH
95	ENSG00000187098	MITF	bHLH
96	ENSG00000108788	MLX	bHLH
97	ENSG00000175727	MLXIP	bHLH
98	ENSG00000009950	MLXIPL	bHLH
99	ENSG00000070444	MNT	bHLH
100	ENSG00000178860	MSC	bHLH
101	ENSG00000151379	MSGN1	bHLH
102	ENSG00000059728	MXD1	bHLH
103	ENSG00000213347	MXD3	bHLH
104	ENSG00000123933	MXD4	bHLH
105	ENSG00000119950	MXI1	bHLH
106	ENSG00000136997	MYC	bHLH
107	ENSG00000116990	MYCL	bHLH
108	ENSG00000134323	MYCN	bHLH
109	ENSG00000111049	MYF5	bHLH
110	ENSG00000111046	MYF6	bHLH
111	ENSG00000129152	MYOD1	bHLH
112	ENSG00000122180	MYOG	bHLH
113	ENSG00000084676	NCOA1	bHLH
114	ENSG00000140396	NCOA2	bHLH
115	ENSG00000124151	NCOA3	bHLH
116	ENSG00000162992	NEUROD1	bHLH
117	ENSG00000171532	NEUROD2	bHLH
118	ENSG00000123307	NEUROD4	bHLH
119	ENSG00000164600	NEUROD6	bHLH
120	ENSG00000181965	NEUROG1	bHLH
121	ENSG00000178403	NEUROG2	bHLH
122	ENSG00000122859	NEUROG3	bHLH
123	ENSG00000171786	NHLH1	bHLH
124	ENSG00000177551	NHLH2	bHLH
125	ENSG00000130751	NPAS1	bHLH
126	ENSG00000170485	NPAS2	bHLH
127	ENSG00000151322	NPAS3	bHLH
128	ENSG00000174576	NPAS4	bHLH
129	ENSG00000184221	OLIG1	bHLH
130	ENSG00000205927	OLIG2	bHLH
131	ENSG00000177468	OLIG3	bHLH
132	ENSG00000168267	PTF1A	bHLH
133	ENSG00000260428	SCX	bHLH
134	ENSG00000112246	SIM1	bHLH
135	ENSG00000159263	SIM2	bHLH
136	ENSG00000165643	SOHLH1	bHLH
137	ENSG00000120669	SOHLH2	bHLH
138	ENSG00000072310	SREBF1	bHLH
139	ENSG00000198911	SREBF2	bHLH
140	ENSG00000162367	TAL1	bHLH
141	ENSG00000186051	TAL2	bHLH
142	ENSG00000140262	TCF12	bHLH
143	ENSG00000125878	TCF15	bHLH
144	ENSG00000118526	TCF21	bHLH
145	ENSG00000163792	TCF23	bHLH
146	ENSG00000261787	TCF24	bHLH
147	ENSG00000071564	TCF3	bHLH
148	ENSG00000196628	TCF4	bHLH
149	ENSG00000101190	TCFL5	bHLH
150	ENSG00000090447	TFAP4	bHLH
151	ENSG00000068323	TFE3	bHLH
152	ENSG00000112561	TFEB	bHLH
153	ENSG00000105967	TFEC	bHLH
154	ENSG00000122691	TWIST1	bHLH
155	ENSG00000233608	TWIST2	bHLH
156	ENSG00000158773	USF1	bHLH
157	ENSG00000105698	USF2	bHLH
158	ENSG00000176542	USF3	bHLH
159	ENSG00000143157	POGK	Brinker
160	ENSG00000267281	AC023509.3	bZIP
161	ENSG00000115266	APC2	bZIP
162	ENSG00000123268	ATF1	bZIP
163	ENSG00000115966	ATF2	bZIP
164	ENSG00000162772	ATF3	bZIP
165	ENSG00000128272	ATF4	bZIP
166	ENSG00000169136	ATF5	bZIP
167	ENSG00000118217	ATF6	bZIP
168	ENSG00000213676	ATF6B	bZIP
169	ENSG00000170653	ATF7	bZIP
170	ENSG00000156273	BACH1	bZIP
171	ENSG00000112182	BACH2	bZIP
172	ENSG00000156127	BATF	bZIP
173	ENSG00000168062	BATF2	bZIP
174	ENSG00000123685	BATF3	bZIP
175	ENSG00000188848	BEND4	bZIP
176	ENSG00000151468	CCDC3	bZIP
177	ENSG00000150676	CCDC83	bZIP
178	ENSG00000245848	CEBPA	bZIP
179	ENSG00000172216	CEBPB	bZIP
180	ENSG00000221869	CEBPD	bZIP
181	ENSG00000092067	CEBPE	bZIP
182	ENSG00000153879	CEBPG	bZIP
183	ENSG00000118260	CREB1	bZIP
184	ENSG00000107175	CREB3	bZIP
185	ENSG00000157613	CREB3L1	bZIP
186	ENSG00000182158	CREB3L2	bZIP
187	ENSG00000060566	CREB3L3	bZIP
188	ENSG00000143578	CREB3L4	bZIP
189	ENSG00000146592	CREB5	bZIP
190	ENSG00000111269	CREBL2	bZIP
191	ENSG00000164463	CREBRF	bZIP
192	ENSG00000137504	CREBZF	bZIP
193	ENSG00000095794	CREM	bZIP
194	ENSG00000105516	DBP	bZIP
195	ENSG00000175197	DDIT3	bZIP
196	ENSG00000170345	FOS	bZIP
197	ENSG00000125740	FOSB	bZIP
198	ENSG00000175592	FOSL1	bZIP
199	ENSG00000075426	FOSL2	bZIP
200	ENSG00000144366	GULP1	bZIP
201	ENSG00000108924	HLF	bZIP
202	ENSG00000095066	HOOK2	bZIP
203	ENSG00000140575	IQGAP1	bZIP
204	ENSG00000140044	JDP2	bZIP
205	ENSG00000177606	JUN	bZIP
206	ENSG00000171223	JUNB	bZIP
207	ENSG00000130522	JUND	bZIP
208	ENSG00000163808	KIF15	bZIP
209	ENSG00000171401	KRT13	bZIP
210	ENSG00000178573	MAF	bZIP
211	ENSG00000182759	MAFA	bZIP
212	ENSG00000204103	MAFB	bZIP
213	ENSG00000185022	MAFF	bZIP
214	ENSG00000197063	MAFG	bZIP
215	ENSG00000198517	MAFK	bZIP
216	ENSG00000159256	MORC3	bZIP
217	ENSG00000080986	NDC80	bZIP
218	ENSG00000123405	NFE2	bZIP
219	ENSG00000082641	NFE2L1	bZIP
220	ENSG00000116044	NFE2L2	bZIP
221	ENSG00000050344	NFE2L3	bZIP
222	ENSG00000165030	NFIL3	bZIP
223	ENSG00000148572	NRBF2	bZIP
224	ENSG00000129535	NRL	bZIP
225	ENSG00000162869	PPP1R21	bZIP
226	ENSG00000131242	RAB11FIP4	bZIP
227	ENSG00000152193	RNF219	bZIP
228	ENSG00000153130	SCOC	bZIP
229	ENSG00000167074	TEF	bZIP
230	ENSG00000115993	TRAK2	bZIP
231	ENSG00000100219	XBP1	bZIP
232	ENSG00000267179	AC008770.3	C2H2 ZF
233	ENSG00000233757	AC092835.1	C2H2 ZF
234	ENSG00000264668	AC138696.1	C2H2 ZF
235	ENSG00000139154	AEBP2	C2H2 ZF
236	ENSG00000105127	AKAP8	C2H2 ZF
237	ENSG00000011243	AKAP8L	C2H2 ZF
238	ENSG00000163516	ANKZF1	C2H2 ZF
239	ENSG00000166454	ATMIN	C2H2 ZF
240	ENSG00000119866	BCL11A	C2H2 ZF
241	ENSG00000127152	BCL11B	C2H2 ZF
242	ENSG00000113916	BCL6	C2H2 ZF
243	ENSG00000161940	BCL6B	C2H2 ZF
244	ENSG00000169594	BNC1	C2H2 ZF
245	ENSG00000173068	BNC2	C2H2 ZF
246	ENSG00000130940	CASZ1	C2H2 ZF
247	ENSG00000159588	CCDC17	C2H2 ZF
248	ENSG00000198824	CHAMP1	C2H2 ZF
249	ENSG00000147183	CPXCR1	C2H2 ZF
250	ENSG00000102974	CTCF	C2H2 ZF
251	ENSG00000124092	CTCFL	C2H2 ZF
252	ENSG00000011332	DPF1	C2H2 ZF
253	ENSG00000205683	DPF3	C2H2 ZF
254	ENSG00000134874	DZIP1	C2H2 ZF
255	ENSG00000167967	E4F1	C2H2 ZF
256	ENSG00000102189	EEA1	C2H2 ZF
257	ENSG00000120738	EGR1	C2H2 ZF
258	ENSG00000122877	EGR2	C2H2 ZF
259	ENSG00000179388	EGR3	C2H2 ZF
260	ENSG00000135625	EGR4	C2H2 ZF
261	ENSG00000164334	FAM170A	C2H2 ZF
262	ENSG00000128610	FEZF1	C2H2 ZF
263	ENSG00000153266	FEZF2	C2H2 ZF
264	ENSG00000179943	FIZ1	C2H2 ZF
265	ENSG00000162676	GFI1	C2H2 ZF
266	ENSG00000165702	GFI1B	C2H2 ZF
267	ENSG00000111087	GLI1	C2H2 ZF
268	ENSG00000074047	GLI2	C2H2 ZF
269	ENSG00000106571	GLI3	C2H2 ZF
270	ENSG00000250571	GLI4	C2H2 ZF
271	ENSG00000174332	GLIS1	C2H2 ZF
272	ENSG00000126603	GLIS2	C2H2 ZF
273	ENSG00000107249	GLIS3	C2H2 ZF
274	ENSG00000122034	GTF3A	C2H2 ZF
275	ENSG00000125812	GZF1	C2H2 ZF
276	ENSG00000177374	HIC1	C2H2 ZF
277	ENSG00000169635	HIC2	C2H2 ZF
278	ENSG00000172273	HINFP	C2H2 ZF
279	ENSG00000095951	HIVEP1	C2H2 ZF
280	ENSG00000010818	HIVEP2	C2H2 ZF
281	ENSG00000127124	HIVEP3	C2H2 ZF
282	ENSG00000181666	HKR1	C2H2 ZF
283	ENSG00000185811	IKZF1	C2H2 ZF
284	ENSG00000030419	IKZF2	C2H2 ZF
285	ENSG00000161405	IKZF3	C2H2 ZF
286	ENSG00000123411	IKZF4	C2H2 ZF
287	ENSG00000095574	IKZF5	C2H2 ZF
288	ENSG00000173404	INSM1	C2H2 ZF
289	ENSG00000168348	INSM2	C2H2 ZF
290	ENSG00000153814	JAZF1	C2H2 ZF
291	ENSG00000136504	KAT7	C2H2 ZF
292	ENSG00000176407	KCMF1	C2H2 ZF
293	ENSG00000151657	KIN	C2H2 ZF
294	ENSG00000105610	KLF1	C2H2 ZF
295	ENSG00000155090	KLF10	C2H2 ZF
296	ENSG00000172059	KLF11	C2H2 ZF
297	ENSG00000118922	KLF12	C2H2 ZF
298	ENSG00000169926	KLF13	C2H2 ZF
299	ENSG00000266265	KLF14	C2H2 ZF
300	ENSG00000163884	KLF15	C2H2 ZF
301	ENSG00000129911	KLF16	C2H2 ZF
302	ENSG00000171872	KLF17	C2H2 ZF
303	ENSG00000127528	KLF2	C2H2 ZF
304	ENSG00000109787	KLF3	C2H2 ZF
305	ENSG00000136826	KLF4	C2H2 ZF
306	ENSG00000102554	KLF5	C2H2 ZF
307	ENSG00000067082	KLF6	C2H2 ZF
308	ENSG00000118263	KLF7	C2H2 ZF
309	ENSG00000102349	KLF8	C2H2 ZF
310	ENSG00000119138	KLF9	C2H2 ZF
311	ENSG00000185513	L3MBTL1	C2H2 ZF
312	ENSG00000198945	L3MBTL3	C2H2 ZF
313	ENSG00000154655	L3MBTL4	C2H2 ZF
314	ENSG00000103495	MAZ	C2H2 ZF
315	ENSG00000085276	MECOM	C2H2 ZF
316	ENSG00000188786	MTF1	C2H2 ZF
317	ENSG00000085274	MYNN	C2H2 ZF
318	ENSG00000196132	MYT1	C2H2 ZF
319	ENSG00000186487	MYT1L	C2H2 ZF
320	ENSG00000099326	MZF1	C2H2 ZF
321	ENSG00000083635	NUFIP1	C2H2 ZF
322	ENSG00000143867	OSR1	C2H2 ZF
323	ENSG00000164920	OSR2	C2H2 ZF
324	ENSG00000172818	OVOL1	C2H2 ZF
325	ENSG00000125850	OVOL2	C2H2 ZF
326	ENSG00000105261	OVOL3	C2H2 ZF
327	ENSG00000198300	PEG3	C2H2 ZF
328	ENSG00000181690	PLAG1	C2H2 ZF
329	ENSG00000118495	PLAGL1	C2H2 ZF
330	ENSG00000126003	PLAGL2	C2H2 ZF
331	ENSG00000057657	PRDM1	C2H2 ZF
332	ENSG00000170325	PRDM10	C2H2 ZF
333	ENSG00000130711	PRDM12	C2H2 ZF
334	ENSG00000112238	PRDM13	C2H2 ZF
335	ENSG00000147596	PRDM14	C2H2 ZF
336	ENSG00000141956	PRDM15	C2H2 ZF
337	ENSG00000142611	PRDM16	C2H2 ZF
338	ENSG00000116731	PRDM2	C2H2 ZF
339	ENSG00000110851	PRDM4	C2H2 ZF
340	ENSG00000138738	PRDM5	C2H2 ZF
341	ENSG00000061455	PRDM6	C2H2 ZF
342	ENSG00000152784	PRDM8	C2H2 ZF
343	ENSG00000164256	PRDM9	C2H2 ZF
344	ENSG00000185238	PRMT3	C2H2 ZF
345	ENSG00000146587	RBAK	C2H2 ZF
346	ENSG00000131381	RBSN	C2H2 ZF
347	ENSG00000214022	REPIN1	C2H2 ZF
348	ENSG00000084093	REST	C2H2 ZF
349	ENSG00000117000	RLF	C2H2 ZF
350	ENSG00000124782	RREB1	C2H2 ZF
351	ENSG00000103449	SALL1	C2H2 ZF
352	ENSG00000165821	SALL2	C2H2 ZF
353	ENSG00000256463	SALL3	C2H2 ZF
354	ENSG00000101115	SALL4	C2H2 ZF
355	ENSG00000261678	SCRT1	C2H2 ZF
356	ENSG00000215397	SCRT2	C2H2 ZF
357	ENSG00000125520	SLC2A4RG	C2H2 ZF
358	ENSG00000124216	SNAI1	C2H2 ZF
359	ENSG00000019549	SNAI2	C2H2 ZF
360	ENSG00000185669	SNAI3	C2H2 ZF
361	ENSG00000185591	SP1	C2H2 ZF
362	ENSG00000167182	SP2	C2H2 ZF
363	ENSG00000172845	SP3	C2H2 ZF
364	ENSG00000105866	SP4	C2H2 ZF
365	ENSG00000204335	SP5	C2H2 ZF
366	ENSG00000189120	SP6	C2H2 ZF
367	ENSG00000170374	SP7	C2H2 ZF
368	ENSG00000164651	SP8	C2H2 ZF
369	ENSG00000217236	SP9	C2H2 ZF
370	ENSG00000147488	ST18	C2H2 ZF
371	ENSG00000135148	TRAFD1	C2H2 ZF
372	ENSG00000179981	TSHZ1	C2H2 ZF
373	ENSG00000182463	TSHZ2	C2H2 ZF
374	ENSG00000121297	TSHZ3	C2H2 ZF
375	ENSG00000136451	VEZF1	C2H2 ZF
376	ENSG00000011451	WIZ	C2H2 ZF
377	ENSG00000184937	WT1	C2H2 ZF
378	ENSG00000100811	YY1	C2H2 ZF
379	ENSG00000230797	YY2	C2H2 ZF
380	ENSG00000126804	ZBTB1	C2H2 ZF
381	ENSG00000205189	ZBTB10	C2H2 ZF
382	ENSG00000066422	ZBTB11	C2H2 ZF
383	ENSG00000204366	ZBTB12	C2H2 ZF
384	ENSG00000198081	ZBTB14	C2H2 ZF
385	ENSG00000109906	ZBTB16	C2H2 ZF
386	ENSG00000116809	ZBTB17	C2H2 ZF
387	ENSG00000179456	ZBTB18	C2H2 ZF
388	ENSG00000181472	ZBTB2	C2H2 ZF
389	ENSG00000181722	ZBTB20	C2H2 ZF
390	ENSG00000173276	ZBTB21	C2H2 ZF
391	ENSG00000236104	ZBTB22	C2H2 ZF
392	ENSG00000089775	ZBTB25	C2H2 ZF
393	ENSG00000171448	ZBTB26	C2H2 ZF
394	ENSG00000185670	ZBTB3	C2H2 ZF
395	ENSG00000011590	ZBTB32	C2H2 ZF
396	ENSG00000177485	ZBTB33	C2H2 ZF
397	ENSG00000177125	ZBTB34	C2H2 ZF
398	ENSG00000185278	ZBTB37	C2H2 ZF
399	ENSG00000177311	ZBTB38	C2H2 ZF
400	ENSG00000166860	ZBTB39	C2H2 ZF
401	ENSG00000174282	ZBTB4	C2H2 ZF
402	ENSG00000184677	ZBTB40	C2H2 ZF
403	ENSG00000177888	ZBTB41	C2H2 ZF
404	ENSG00000179627	ZBTB42	C2H2 ZF
405	ENSG00000169155	ZBTB43	C2H2 ZF
406	ENSG00000196323	ZBTB44	C2H2 ZF
407	ENSG00000119574	ZBTB45	C2H2 ZF
408	ENSG00000130584	ZBTB46	C2H2 ZF
409	ENSG00000114853	ZBTB47	C2H2 ZF
410	ENSG00000204859	ZBTB48	C2H2 ZF
411	ENSG00000168826	ZBTB49	C2H2 ZF
412	ENSG00000168795	ZBTB5	C2H2 ZF
413	ENSG00000186130	ZBTB6	C2H2 ZF
414	ENSG00000178951	ZBTB7A	C2H2 ZF
415	ENSG00000160685	ZBTB7B	C2H2 ZF
416	ENSG00000184828	ZBTB7C	C2H2 ZF
417	ENSG00000160062	ZBTB8A	C2H2 ZF
418	ENSG00000273274	ZBTB8B	C2H2 ZF
419	ENSG00000213588	ZBTB9	C2H2 ZF
420	ENSG00000066827	ZFAT	C2H2 ZF
421	ENSG00000184517	ZFP1	C2H2 ZF
422	ENSG00000142065	ZFP14	C2H2 ZF
423	ENSG00000198939	ZFP2	C2H2 ZF
424	ENSG00000196867	ZFP28	C2H2 ZF
425	ENSG00000180787	ZFP3	C2H2 ZF
426	ENSG00000120784	ZFP30	C2H2 ZF
427	ENSG00000136866	ZFP37	C2H2 ZF
428	ENSG00000181638	ZFP41	C2H2 ZF
429	ENSG00000179059	ZFP42	C2H2 ZF
430	ENSG00000204644	ZFP57	C2H2 ZF
431	ENSG00000196670	ZFP62	C2H2 ZF
432	ENSG00000020256	ZFP64	C2H2 ZF
433	ENSG00000187815	ZFP69	C2H2 ZF
434	ENSG00000187801	ZFP69B	C2H2 ZF
435	ENSG00000181007	ZFP82	C2H2 ZF
436	ENSG00000184939	ZFP90	C2H2 ZF
437	ENSG00000186660	ZFP91	C2H2 ZF
438	ENSG00000189420	ZFP92	C2H2 ZF
439	ENSG00000162300	ZFPL1	C2H2 ZF
440	ENSG00000179588	ZFPM1	C2H2 ZF
441	ENSG00000169946	ZFPM2	C2H2 ZF
442	ENSG00000056097	ZFR	C2H2 ZF
443	ENSG00000105278	ZFR2	C2H2 ZF
444	ENSG00000005889	ZFX	C2H2 ZF
445	ENSG00000067646	ZFY	C2H2 ZF
446	ENSG00000152977	ZIC1	C2H2 ZF
447	ENSG00000043355	ZIC2	C2H2 ZF
448	ENSG00000156925	ZIC3	C2H2 ZF
449	ENSG00000174963	ZIC4	C2H2 ZF
450	ENSG00000139800	ZIC5	C2H2 ZF
451	ENSG00000171649	ZIK1	C2H2 ZF
452	ENSG00000269699	ZIM2	C2H2 ZF
453	ENSG00000141946	ZIM3	C2H2 ZF
454	ENSG00000106261	ZKSCAN1	C2H2 ZF
455	ENSG00000155592	ZKSCAN2	C2H2 ZF
456	ENSG00000189298	ZKSCAN3	C2H2 ZF
457	ENSG00000187626	ZKSCAN4	C2H2 ZF
458	ENSG00000196652	ZKSCAN5	C2H2 ZF
459	ENSG00000196345	ZKSCAN7	C2H2 ZF
460	ENSG00000198315	ZKSCAN8	C2H2 ZF
461	ENSG00000166432	ZMAT1	C2H2 ZF
462	ENSG00000172667	ZMAT3	C2H2 ZF
463	ENSG00000165061	ZMAT4	C2H2 ZF
464	ENSG00000256223	ZNF10	C2H2 ZF
465	ENSG00000197020	ZNF100	C2H2 ZF
466	ENSG00000181896	ZNF101	C2H2 ZF
467	ENSG00000103994	ZNF106	C2H2 ZF
468	ENSG00000196247	ZNF107	C2H2 ZF
469	ENSG00000062370	ZNF112	C2H2 ZF
470	ENSG00000178150	ZNF114	C2H2 ZF
471	ENSG00000152926	ZNF117	C2H2 ZF
472	ENSG00000164631	ZNF12	C2H2 ZF
473	ENSG00000197961	ZNF121	C2H2 ZF
474	ENSG00000196418	ZNF124	C2H2 ZF
475	ENSG00000172262	ZNF131	C2H2 ZF
476	ENSG00000131849	ZNF132	C2H2 ZF
477	ENSG00000125846	ZNF133	C2H2 ZF
478	ENSG00000213762	ZNF134	C2H2 ZF
479	ENSG00000176293	ZNF135	C2H2 ZF
480	ENSG00000196646	ZNF136	C2H2 ZF
481	ENSG00000197008	ZNF138	C2H2 ZF
482	ENSG00000105708	ZNF14	C2H2 ZF
483	ENSG00000196387	ZNF140	C2H2 ZF
484	ENSG00000131127	ZNF141	C2H2 ZF
485	ENSG00000115568	ZNF142	C2H2 ZF
486	ENSG00000166478	ZNF143	C2H2 ZF
487	ENSG00000167635	ZNF146	C2H2 ZF
488	ENSG00000163848	ZNF148	C2H2 ZF
489	ENSG00000179909	ZNF154	C2H2 ZF
490	ENSG00000204920	ZNF155	C2H2 ZF
491	ENSG00000147117	ZNF157	C2H2 ZF
492	ENSG00000170631	ZNF16	C2H2 ZF
493	ENSG00000170949	ZNF160	C2H2 ZF
494	ENSG00000197279	ZNF165	C2H2 ZF
495	ENSG00000175787	ZNF169	C2H2 ZF
496	ENSG00000186272	ZNF17	C2H2 ZF
497	ENSG00000103343	ZNF174	C2H2 ZF
498	ENSG00000105497	ZNF175	C2H2 ZF
499	ENSG00000188629	ZNF177	C2H2 ZF
500	ENSG00000154957	ZNF18	C2H2 ZF
501	ENSG00000167384	ZNF180	C2H2 ZF
502	ENSG00000197841	ZNF181	C2H2 ZF
503	ENSG00000147118	ZNF182	C2H2 ZF
504	ENSG00000096654	ZNF184	C2H2 ZF
505	ENSG00000136870	ZNF189	C2H2 ZF
506	ENSG00000157429	ZNF19	C2H2 ZF
507	ENSG00000005801	ZNF195	C2H2 ZF
508	ENSG00000186448	ZNF197	C2H2 ZF
509	ENSG00000275111	ZNF2	C2H2 ZF
510	ENSG00000132010	ZNF20	C2H2 ZF
511	ENSG00000010539	ZNF200	C2H2 ZF
512	ENSG00000166261	ZNF202	C2H2 ZF
513	ENSG00000122386	ZNF205	C2H2 ZF
514	ENSG00000010244	ZNF207	C2H2 ZF
515	ENSG00000160321	ZNF208	C2H2 ZF
516	ENSG00000121417	ZNF211	C2H2 ZF
517	ENSG00000170260	ZNF212	C2H2 ZF
518	ENSG00000085644	ZNF213	C2H2 ZF
519	ENSG00000149050	ZNF214	C2H2 ZF
520	ENSG00000149054	ZNF215	C2H2 ZF
521	ENSG00000171940	ZNF217	C2H2 ZF
522	ENSG00000165804	ZNF219	C2H2 ZF
523	ENSG00000165512	ZNF22	C2H2 ZF
524	ENSG00000159905	ZNF221	C2H2 ZF
525	ENSG00000159885	ZNF222	C2H2 ZF
526	ENSG00000178386	ZNF223	C2H2 ZF
527	ENSG00000267680	ZNF224	C2H2 ZF
528	ENSG00000256294	ZNF225	C2H2 ZF
529	ENSG00000167380	ZNF226	C2H2 ZF
530	ENSG00000131115	ZNF227	C2H2 ZF
531	ENSG00000278318	ZNF229	C2H2 ZF
532	ENSG00000167377	ZNF23	C2H2 ZF
533	ENSG00000159882	ZNF230	C2H2 ZF
534	ENSG00000167840	ZNF232	C2H2 ZF
535	ENSG00000159915	ZNF233	C2H2 ZF
536	ENSG00000263002	ZNF234	C2H2 ZF
537	ENSG00000159917	ZNF235	C2H2 ZF
538	ENSG00000130856	ZNF236	C2H2 ZF
539	ENSG00000196793	ZNF239	C2H2 ZF
540	ENSG00000172466	ZNF24	C2H2 ZF
541	ENSG00000198105	ZNF248	C2H2 ZF
542	ENSG00000175395	ZNF25	C2H2 ZF
543	ENSG00000196150	ZNF250	C2H2 ZF
544	ENSG00000198169	ZNF251	C2H2 ZF
545	ENSG00000256771	ZNF253	C2H2 ZF
546	ENSG00000213096	ZNF254	C2H2 ZF
547	ENSG00000152454	ZNF256	C2H2 ZF
548	ENSG00000197134	ZNF257	C2H2 ZF
549	ENSG00000198393	ZNF26	C2H2 ZF
550	ENSG00000254004	ZNF260	C2H2 ZF
551	ENSG00000006194	ZNF263	C2H2 ZF
552	ENSG00000083844	ZNF264	C2H2 ZF
553	ENSG00000174652	ZNF266	C2H2 ZF
554	ENSG00000185947	ZNF267	C2H2 ZF
555	ENSG00000090612	ZNF268	C2H2 ZF
556	ENSG00000198039	ZNF273	C2H2 ZF
557	ENSG00000171606	ZNF274	C2H2 ZF
558	ENSG00000063587	ZNF275	C2H2 ZF
559	ENSG00000158805	ZNF276	C2H2 ZF
560	ENSG00000198538	ZNF28	C2H2 ZF
561	ENSG00000169548	ZNF280A	C2H2 ZF
562	ENSG00000275004	ZNF280B	C2H2 ZF
563	ENSG00000056277	ZNF280C	C2H2 ZF
564	ENSG00000137871	ZNF280D	C2H2 ZF
565	ENSG00000162702	ZNF281	C2H2 ZF
566	ENSG00000170265	ZNF282	C2H2 ZF
567	ENSG00000167637	ZNF283	C2H2 ZF
568	ENSG00000186026	ZNF284	C2H2 ZF
569	ENSG00000267508	ZNF285	C2H2 ZF
570	ENSG00000187607	ZNF286A	C2H2 ZF
