GeneID	Homo_sapiens.dN	Homo_sapiens.dS	Homo_sapiens.dw	Homo_sapiens.w
ENSG00000137343	0.001251	1e-06	998.7799	1251
ENSG00000172867	0.004144	0.006052	0.5314	0.68473232
ENSG00000155719	0.001712	0.005697	-0.0693	0.30050904
ENSG00000068654	0.002183	0.004579	0.3417	0.476741647
ENSG00000198890	0	0.00466	-0.034	0.0001
ENSG00000162337	0.00025	0.008053	0.0192	0.031044331
ENSG00000066427	0.076637	0.07347	0.9496	1.04310603
ENSG00000145416	1e-06	0.0059	0	0.000169492
ENSG00000198899	0.019146	0.196576	-998.9026	0.097397444
ENSG00000198898	1e-06	0.005422	-0.0446	0.000184434
ENSG00000182010	0.001175	0.001901	0.2869	0.618095739
ENSG00000182013	0.004772	0.002637	1.5486	1.809632158
ENSG00000157578	0.005782	0.005305	0.8231	1.089915174
ENSG00000130962	0.005179	0.007808	0.5782	0.663294057
ENSG00000108064	1e-06	0.00634	-0.4908	0.000157729
ENSG00000157570	0.04301	0.08041	0.486	0.534883721
ENSG00000108061	0	5e-06	0	0.0001
ENSG00000075388	0.003814	4e-06	998.9999	953.5
ENSG00000165879	0.002848	6e-06	-545.7507	474.6666667
ENSG00000204179	1e-06	0.008622	-0.6208	0.000115982
ENSG00000067082	1e-06	0.005251	-0.0295	0.00019044
ENSG00000204174	0	0.002995	-0.0919	0.0001
ENSG00000204175	0.007412	0.007306	-8.425	1.014508623
ENSG00000204176	0.000989	0.023937	-0.2171	0.04131679
ENSG00000204173	0.022254	0.013022	1.3245	1.708954078
ENSG00000121621	0.002314	0.003659	0.3245	0.632413228
ENSG00000181938	1e-06	0.006881	-0.0682	0.000145328
ENSG00000164659	0.001781	0.011632	0.0898	0.153112105
ENSG00000174429	0.001492	0.003457	0.1673	0.431588082
ENSG00000178372	0.013395	0.03063	0.2644	0.437316357
ENSG00000108561	1e-06	0.006054	-0.2174	0.00016518
ENSG00000181284	1e-06	0.011705	-0.2587	8.54335753951e-05
ENSG00000164654	2e-06	0.015337	-0.0188	0.000130404
ENSG00000181935	0.019222	0.007628	1.8005	2.519926586
ENSG00000127359	1e-06	0.007701	-0.0166	0.000129853
ENSG00000149187	1e-06	0.00643	0	0.000155521
ENSG00000161021	0.003025	0.006114	0.3416	0.494766111
ENSG00000102230	2e-06	1e-06	1.775	2
ENSG00000173436	2e-06	0.015644	-0.0549	0.000127845
ENSG00000100065	1e-06	0.007183	-0.0596	0.000139218
ENSG00000132382	0.001107	1.1e-05	98.6159	100.6363636
ENSG00000073464	1e-06	0.013727	-0.0063	7.28491294529e-05
ENSG00000101977	0.001078	0.007559	-0.087	0.142611457
ENSG00000101974	0.000395	0.002458	0.1103	0.160699756
ENSG00000101972	0	0.003442	-0.013	0.0001
ENSG00000007516	0.002731	0.013497	0.1224	0.202341261
ENSG00000162852	0.003094	0.012395	-0.0699	0.249616781
ENSG00000072736	0.001007	0.008032	-0.018	0.125373506
ENSG00000215644	0.001006	3.8e-05	26.3068	26.47368421
ENSG00000119508	0.001543	0.005666	0.1785	0.272326156
ENSG00000130348	1e-06	0.009071	-0.1429	0.000110241
ENSG00000054654	0.005649	3.4e-05	164.6301	166.1470588
ENSG00000119509	0.000512	0.006016	-0.1142	0.085106383
ENSG00000005001	0.004917	5e-06	998.8991	983.4
ENSG00000166948	0.003854	0.015091	0.1246	0.255384004
ENSG00000180881	1e-06	0.0062	-0.2914	0.00016129
ENSG00000130347	0.001158	0.013594	-0.1096	0.08518464
ENSG00000099949	1e-06	0.012097	-0.0643	8.26651235844e-05
ENSG00000165309	0.001619	0.005695	0.1193	0.28428446
ENSG00000178573	0	9e-06	-0.0352	0.0001
ENSG00000107562	1e-06	3e-06	0.0547	0.333333333
ENSG00000151012	0	0.004483	-0.3279	0.0001
ENSG00000165304	0	0.004234	-0.2913	0.0001
ENSG00000151014	0.00128	0.016649	0.0178	0.076881494
ENSG00000107566	0	0.003204	-0.1063	0.0001
ENSG00000099942	1e-06	0.007921	-0.0754	0.000126247
ENSG00000176495	0	5e-06	-0.1608	0.0001
ENSG00000101608	1e-06	0.007418	-0.0597	0.000134807
ENSG00000042062	0.002726	0.005669	0.2975	0.480860822
ENSG00000101605	0.003578	0.012956	0.0806	0.276165483
ENSG00000196535	0.000635	0.011071	0.0229	0.057357059
ENSG00000154001	0	5e-06	0	0.0001
ENSG00000174130	0.003496	0.009859	0.0378	0.354599858
ENSG00000125304	1e-06	0.005004	-0.0688	0.00019984
ENSG00000187900	0.014907	0.011895	0.9105	1.253215637
ENSG00000198791	0	4e-06	0.0968	0.0969
ENSG00000197959	0.000948	0.004208	0.2163	0.225285171
ENSG00000198793	0	0.001136	-0.007	0.0001
ENSG00000198794	0.001827	2e-06	998.9872	913.5
ENSG00000198795	0.004298	0.02154	0.1883	0.199535747
ENSG00000198796	0.003134	0.005267	0.0529	0.595025631
ENSG00000198797	0.001394	0.003398	0.3367	0.410241318
ENSG00000198799	0.000615	0.004856	0.0624	0.126647446
ENSG00000150722	0	4e-06	-0.2083	0.0001
ENSG00000175556	0	0.003333	-0.1934	0.0001
ENSG00000197771	1e-06	0.013935	-0.0342	7.17617509867e-05
ENSG00000145384	0.005778	0.026408	-1.8789	0.218797334
ENSG00000161682	0.000779	1e-06	998.9439	779
ENSG00000153714	0	0.002554	-0.0658	0.0001
ENSG00000115084	0.002599	0.012573	0.1572	0.206712797
ENSG00000085978	0.000788	0.003006	0.16	0.262142382
ENSG00000140319	1e-06	0.014198	-0.1173	7.04324552754e-05
ENSG00000133169	0	6e-06	-1.1626	0.0001
ENSG00000169247	0.000806	0.004443	-0.0181	0.181408958
ENSG00000169245	0.022056	0.086749	-0.3068	0.254250769
ENSG00000169242	1e-06	0.014292	-0.3391	6.9969213546e-05
ENSG00000169241	2e-06	0	94.5541	95.0004
ENSG00000089048	0.002729	0.005449	0.1219	0.50082584
ENSG00000183864	2e-06	0	18.7003	18.7895
ENSG00000183862	0.001354	0.003512	0.3029	0.385535308
ENSG00000089041	0.001471	0.003985	0.2521	0.369134253
ENSG00000164691	0.001928	0.003105	0.288	0.620933977
ENSG00000111348	1e-06	0.014414	-0.1	6.93769945886e-05
ENSG00000124217	0.000642	0.010127	-0.1292	0.063394885
ENSG00000124214	0.000998	1e-06	998.9014	998
ENSG00000189283	0.008552	0.009818	0.2853	0.871053168
ENSG00000124212	1e-06	0.006837	-0.1354	0.000146263
ENSG00000167685	0	6e-06	-0.0651	0.0001
ENSG00000013364	1e-06	0.006771	-0.0569	0.000147689
ENSG00000111341	0.004427	4e-06	998.846	1106.75
ENSG00000000005	0.001436	0.004129	0.2889	0.347783967
ENSG00000111344	0.001815	0.006945	0.1563	0.261339093
ENSG00000173905	0.002505	3e-06	998.8952	835
ENSG00000135446	0	3e-06	0.0998	0.1407
ENSG00000135441	2e-06	0	304.5272	305.5099
ENSG00000079215	0.000875	0.001495	0.5691	0.585284281
ENSG00000082014	1e-06	0.006562	0	0.000152393
ENSG00000117222	0	5e-06	-0.0192	0.0001
ENSG00000185133	0.002709	0.013306	0.0321	0.203592364
ENSG00000108961	0.002525	0.032921	-0.0217	0.076698764
ENSG00000138604	0.00077	0.001903	0.2997	0.404624277
ENSG00000169020	2e-06	0.017473	-0.3046	0.000114462
ENSG00000064393	0.000764	0.013433	0.0312	0.05687486
ENSG00000169026	0.00548	0.01154	0.2159	0.474870017
ENSG00000036054	0.001292	0.006476	0.12	0.199505868
ENSG00000213204	0.001051	0.003146	-0.1444	0.334075016
ENSG00000104903	0.002402	0.014096	0.1031	0.170402951
ENSG00000213203	0.001847	0.017816	-0.0274	0.103670858
ENSG00000105467	0.005267	5e-06	998.5385	1053.4
ENSG00000104907	0.001152	0.009426	0.0424	0.12221515
ENSG00000048649	0.000845	3e-06	241.5194	281.6666667
ENSG00000173821	0.003648	0.004585	0.5091	0.79563795
ENSG00000150873	0.002985	0.01934	0.0751	0.15434333
ENSG00000118418	1e-06	2e-06	0.2548	0.5
ENSG00000105875	0.001255	0.008011	0.089	0.156659593
ENSG00000118412	0.002134	0.010405	-0.199	0.205093705
ENSG00000160883	0.001544	0.01415	-0.0257	0.109116608
ENSG00000160882	0.002525	0.02045	-0.2016	0.123471883
ENSG00000110169	0.001022	1e-06	998.7239	1022
ENSG00000022355	0	0.004437	-0.0341	0.0001
ENSG00000146910	0	6e-06	-0.2598	0.0001
ENSG00000102802	0.001653	0.009277	0.132	0.178182602
ENSG00000177951	0.413858	0.682976	0.5655	0.605962728
ENSG00000143669	0.001837	0.006195	0.1405	0.296529459
ENSG00000102805	0.005737	6e-06	998.5471	956.1666667
ENSG00000102804	0.001453	0.001319	0.881	1.101592115
ENSG00000131023	0.000939	0.0061	0.1273	0.153934426
ENSG00000128016	0	5e-06	-0.1677	0.0001
ENSG00000198246	0.000796	0.022842	-0.1483	0.034848087
ENSG00000128011	0.001203	0.00069	1.7026	1.743478261
ENSG00000143847	0.001595	0.00557	0.2352	0.286355476
ENSG00000109381	0	0.003295	-0.0779	0.0001
ENSG00000147548	0.000308	0.002672	0.0273	0.115269461
ENSG00000135914	0.002016	0.015065	-0.1981	0.133820113
ENSG00000188089	0.000869	0.007111	-0.0376	0.122205034
ENSG00000014914	0	6.4e-05	-0.2218	0.0001
ENSG00000188279	1e-06	0.013521	-0.3329	7.39590266992e-05
ENSG00000164107	2e-06	0	144.04	144.0401
ENSG00000166333	1e-06	0.008559	-0.0117	0.000116836
ENSG00000125347	0.001381	0.003696	0.3241	0.373647186
ENSG00000034693	0.002512	2.9e-05	86.4574	86.62068966
ENSG00000164104	1e-06	0.007078	0	0.000141283
ENSG00000135919	0	5e-06	-0.1303	0.0001
ENSG00000176395	0.003297	0.036716	-0.8274	0.089797364
ENSG00000164105	0.002036	2e-06	998.9078	1018
ENSG00000176390	2e-05	0.202657	-0.012	9.8688917728e-05
ENSG00000178177	0	0.002928	-0.1021	0.0001
ENSG00000176393	0.001595	0.008605	0.0086	0.18535735
ENSG00000155530	0.002408	0.004894	0.0241	0.492031058
ENSG00000176399	0.002756	3e-06	998.7438	918.6666667
ENSG00000064932	0.015243	0.045764	0.2726	0.333078402
ENSG00000064933	0.000948	0.001593	0.2816	0.595103578
ENSG00000136935	0.002374	0.006004	0.0995	0.395403065
ENSG00000136936	0	5e-06	-0.1729	0.0001
ENSG00000177963	0.001696	0.004247	0.1729	0.399340711
ENSG00000136930	0.001721	2e-06	998.9095	860.5
ENSG00000136931	0.001933	0.030856	0.0046	0.062645839
ENSG00000136932	0.003178	0.009204	-0.016	0.345284659
ENSG00000136933	1e-06	0.012313	-1.2094	8.12149760416e-05
ENSG00000181541	1e-06	0.005477	-0.0063	0.000182582
ENSG00000184557	0	8e-06	-0.0102	0.0001
ENSG00000132698	0	6e-06	-0.0269	0.0001
ENSG00000178904	0.000669	0.003934	0.0216	0.170055923
ENSG00000069011	1e-06	0.00645	-0.0282	0.000155039
ENSG00000163673	0.000795	1e-06	998.8616	795
ENSG00000189132	0.004678	0.016793	-0.5618	0.278568451
ENSG00000134070	0.00315	0.0028	0.8688	1.125
ENSG00000069018	1e-06	0.007601	-0.0164	0.000131562
ENSG00000168374	2e-06	0.015166	-0.1254	0.000131874
ENSG00000189134	0.007406	0.010981	0.4512	0.674437665
ENSG00000167535	0.000928	0.003178	0.2917	0.292007552
ENSG00000162104	0.000557	1e-06	998.9275	557
ENSG00000162105	0.00079	0.006465	-0.0983	0.122196442
ENSG00000182247	0	5e-06	0	0.0001
ENSG00000188886	0.005071	0.013364	0.0939	0.37945226
ENSG00000182240	1e-06	0.009636	-0.0782	0.000103778
ENSG00000188883	2e-06	0	6.0692	6.4903
ENSG00000182242	1e-06	0.012757	-0.6545	7.83883358156e-05
ENSG00000188662	2e-06	0	47.7335	48.4611
ENSG00000188888	0.002839	0.007118	-0.1472	0.398847991
ENSG00000108654	0	0.003844	0	0.0001
ENSG00000128652	0.001078	0.009802	0.0847	0.109977556
ENSG00000003989	0.001666	0.011465	-0.0581	0.145311819
ENSG00000186951	0	0.003371	-0.0355	0.0001
ENSG00000094796	6e-06	0.061089	-0.1111	9.82173550066e-05
ENSG00000186952	0.001236	1e-06	998.6651	1236
ENSG00000135298	0.001189	0.004831	0.1993	0.246118816
ENSG00000157388	1e-06	0.006879	-0.0344	0.00014537
ENSG00000003987	0.001414	0.00321	0.3743	0.440498442
ENSG00000100603	1e-06	0.008808	0	0.000113533
ENSG00000115268	6e-06	0.061554	0	9.74753874647e-05
ENSG00000204764	0.001601	0.002705	0.4025	0.591866913
ENSG00000204767	0.002632	0.007145	0.1507	0.368369489
ENSG00000197426	0.011232	1.1e-05	998.7004	1021.090909
ENSG00000115263	1e-06	0.014294	-8.4033	6.99594235344e-05
ENSG00000119231	0	0.001521	-0.492	0.0001
ENSG00000174010	0.00078	0.005504	0.1306	0.141715116
ENSG00000099308	1e-06	1e-06	0.9923	1
ENSG00000115267	0.001445	0.000587	2.2433	2.461669506
ENSG00000125459	0.001344	0.002159	0.3674	0.622510421
ENSG00000171877	0	0.001954	-0.0297	0.0001
ENSG00000047849	0.002234	0.009176	-0.4632	0.243461203
ENSG00000116984	0.000373	0.009409	-0.1311	0.039642895
ENSG00000105619	1e-06	0.013083	-0.1356	7.64350684094e-05
ENSG00000074621	0.002997	0.008262	-0.1701	0.362745098
ENSG00000212864	1e-06	0.014171	-0.0191	7.05666502011e-05
ENSG00000110900	0.004682	5e-06	998.9305	936.4
ENSG00000105618	2e-06	0.024814	-0.0068	8.05996614814e-05
ENSG00000124104	0.003407	0.004209	0.6771	0.809455928
ENSG00000108389	1e-06	0.008148	-0.1405	0.00012273
ENSG00000049192	0.000408	0.00531	-0.0084	0.076836158
ENSG00000108384	0.001951	2e-06	998.7148	975.5
ENSG00000171873	1e-06	2e-06	0.7969	0.5
ENSG00000169994	0.001669	0.012969	0.0156	0.128691495
ENSG00000166343	0.002159	0.003983	0.0631	0.542053728
ENSG00000151838	0.001783	0.003966	-0.0956	0.449571357
ENSG00000165689	0	7e-06	-0.1715	0.0001
ENSG00000108474	0.003759	4e-06	998.6464	939.75
ENSG00000165682	0.005534	0.022449	-0.2811	0.246514321
ENSG00000108479	2e-06	1e-06	2.0619	2
ENSG00000166341	0.000714	0.000981	0.5921	0.727828746
ENSG00000165684	0.006219	0.000793	7.5705	7.842370744
ENSG00000165685	0	0.004854	-0.2344	0.0001
ENSG00000158008	0.001855	0.001276	1.1508	1.453761755
ENSG00000177042	0.003697	4e-06	998.8522	924.25
ENSG00000129128	0	5e-06	0	0.0001
ENSG00000129566	0.003365	0.005523	0.264	0.609270324
ENSG00000177045	0.000306	0	998.908	999
ENSG00000153060	0.003668	0.008003	0.388	0.458328127
ENSG00000167825	0.004651	5e-06	998.9256	930.2
ENSG00000154252	0.003987	4e-06	998.6757	996.75
ENSG00000167822	0.003205	3e-06	998.7074	1068.333333
ENSG00000138750	0.002013	0.010607	0.12	0.189780334
ENSG00000172678	0.00847	0.033512	0.1206	0.252745285
ENSG00000138757	0	5e-06	0	0.0001
ENSG00000172673	0.001679	0.003768	0.2491	0.44559448
ENSG00000176383	0.00321	0.023536	0.0383	0.136386812
ENSG00000172671	0.004958	5e-06	998.5415	991.6
ENSG00000125454	1e-06	0.007397	-0.2795	0.00013519
ENSG00000127824	0	0.000525	-0.4787	0.0001
ENSG00000102743	0.001581	0.017511	0.0477	0.090286106
ENSG00000181544	0.002532	0.005948	-0.0515	0.425689307
ENSG00000173818	0	6e-06	-0.3373	0.0001
ENSG00000139800	0	6e-06	-0.0718	0.0001
ENSG00000157965	0.020197	2e-05	997.5415	1009.85
ENSG00000136750	0.001605	0.010364	0.0946	0.154862987
ENSG00000185736	0.000752	0.02506	-0.1273	0.030007981
ENSG00000185737	2e-06	0	166.3385	166.645
ENSG00000165462	0	8e-06	-0.0111	0.0001
ENSG00000155744	0	5e-06	-0.095	0.0001
ENSG00000115488	0.002215	0.012683	-0.0868	0.174643223
ENSG00000136758	0	0.00399	-0.0673	0.0001
ENSG00000115486	0.002511	0.008621	0.1018	0.291265514
ENSG00000115484	0	0.001991	-0.0575	0.0001
ENSG00000129625	1e-06	0.008843	-0.0859	0.000113084
ENSG00000103005	0.003148	3e-06	998.795	1049.333333
ENSG00000010322	0.000837	0.006985	0.0444	0.119828203
ENSG00000196236	0.001201	1e-06	998.9372	1201
ENSG00000010327	0.001838	0.007376	0.1107	0.249186551
ENSG00000196233	1e-06	2e-06	0.5643	0.5
ENSG00000090097	0.017485	0.028134	0.5674	0.621490012
ENSG00000213445	1e-06	0.012267	-0.1213	8.1519523926e-05
ENSG00000173540	0	0.003709	-0.0577	0.0001
ENSG00000152726	0.009602	0.011619	0.4518	0.826405026
ENSG00000172497	0.001742	0.008645	-0.0817	0.201503759
ENSG00000116014	0.001106	0.002047	0.2105	0.540302882
ENSG00000116017	2e-06	0	410.2393	410.2804
ENSG00000173237	0	5e-06	-0.239	0.0001
ENSG00000172493	0.002611	0.009422	0.0655	0.277117385
ENSG00000205495	0.006366	0.014282	0.1108	0.445735891
ENSG00000173230	0.002139	0.003558	0.3341	0.601180438
ENSG00000112062	0	5e-06	0	0.0001
ENSG00000187398	2e-06	0.017751	-0.8551	0.00011267
ENSG00000113889	0.002309	0.009588	-0.3281	0.240821861
ENSG00000011451	0.000658	0.008923	-0.0505	0.073742015
ENSG00000011454	0	0.002419	-0.0445	0.0001
ENSG00000186049	0.002219	0.015812	0.0754	0.140336453
ENSG00000173545	0.002899	0.016919	0.085	0.171345824
ENSG00000173728	2e-06	0.01795	-0.3307	0.000111421
ENSG00000119906	0.007506	0.01024	0.4118	0.733007813
ENSG00000187242	1e-06	0.007857	-0.1627	0.000127275
ENSG00000205765	2e-06	0.017143	-0.1149	0.000116666
ENSG00000090238	0	7e-06	0	0.0001
ENSG00000129197	0.01757	0.048785	0.2093	0.360151686
ENSG00000129194	0	6e-06	-0.2725	0.0001
ENSG00000141098	1e-06	0.010351	-0.0179	9.66090232828e-05
ENSG00000187735	0	5e-06	-0.0681	0.0001
ENSG00000187240	2e-06	0.018547	-0.0476	0.000107834
ENSG00000183675	1e-06	0.012627	-0.619	7.91953749901e-05
ENSG00000143314	1e-06	1e-06	1.0116	1
ENSG00000148450	2e-06	0.024554	-0.1447	8.14531237273e-05
ENSG00000205143	0.003341	3e-06	998.8368	1113.666667
ENSG00000068120	0.001637	0.014225	-0.0264	0.115079086
ENSG00000170471	0	0.001431	-0.0461	0.0001
ENSG00000172320	0.001506	0.022225	-0.1122	0.06776153
ENSG00000116903	0	6e-06	-0.0273	0.0001
ENSG00000104154	0.001114	0.002723	0.251	0.409107602
ENSG00000112280	0.001949	0.00258	0.5733	0.755426357
ENSG00000242866	0.001396	0.008232	-0.0085	0.169582119
ENSG00000112282	0.000344	0.010052	-0.0052	0.034222045
ENSG00000174990	0.001851	2e-06	998.5815	925.5
ENSG00000104408	0	0.003507	0	0.0001
ENSG00000050030	0.000707	0.006668	-0.1481	0.106028794
ENSG00000117500	0.002074	2e-06	998.9233	1037
ENSG00000107175	1e-06	0.007767	-0.4271	0.00012875
ENSG00000113083	0	0.004002	-0.1148	0.0001
ENSG00000123562	1e-06	0.008077	-0.0427	0.000123808
ENSG00000117505	1e-06	3e-06	0.1905	0.333333333
ENSG00000100632	1e-06	2e-06	0.7761	0.5
ENSG00000137486	0	0.003525	0	0.0001
ENSG00000085563	0.000999	0.003314	0.0656	0.301448401
ENSG00000174013	0	5e-06	-0.3316	0.0001
ENSG00000174099	2e-06	0	17.7798	18.297
ENSG00000196498	0.000647	0.005905	0.0467	0.109568163
ENSG00000196944	0.007306	0.01708	0.1534	0.427751756
ENSG00000196943	0.00073	0.005252	-0.1657	0.138994669
ENSG00000137409	0.052837	0.094479	0.5591	0.55924597
ENSG00000154928	0.000616	0.009905	0.0512	0.062190813
ENSG00000196497	0.001756	0.007902	0.116	0.222222222
ENSG00000213054	0	5e-06	-0.3872	0.0001
ENSG00000164221	0.002549	0.007427	0.2067	0.343207217
ENSG00000164220	0.001307	0.00311	0.2256	0.420257235
ENSG00000128573	0.00154	0.014484	0.0931	0.10632422
ENSG00000178295	0.001456	0.005983	-0.1495	0.243356176
ENSG00000100239	0.00058	0.006563	-0.1514	0.088374219
